position,playerid,playername,team,competition,appearances,AVG,MOTMs,goals,assists,yellow_cards,two_yellow,red_cards,saves,goals_conceded,cleansheets
CB,270531,Ousmane Diomande,Sporting CP,UEFA Champions League,1,6.70,0,0,0,0,0,0,0,0,1
CB,278724,Eivind Helland,Bologna,Coppa Italia,1,7.10,0,0,0,0,0,0,0,1,0
LB,270534,Victor Bak,AJ Auxerre,Ligue 1 McDonald's,5,5.92,0,0,0,0,0,0,0,4,0
CM,237772,Matthias Verreth,Bari,Coppa Italia,1,5.80,0,0,0,0,0,0,0,2,0
CB,229582,Gianluca Mancini,AS Roma,Serie A Enilive,4,6.22,0,0,0,0,0,0,0,4,0
CB,229582,Gianluca Mancini,AS Roma,UEFA Europa League,1,6.10,0,0,0,0,0,0,0,1,0
RB,205015,Jack Grimmer,Wycombe Wanderers,Carabao Cup,1,6.10,0,0,0,0,0,0,0,1,0
RB,205019,Jake Caprice,Oldham Athletic,Carabao Cup,1,6.20,0,0,0,0,0,0,0,1,0
RB,205019,Jake Caprice,Oldham Athletic,Vertu Trophy,1,5.30,0,0,0,0,0,0,0,1,0
RW,245977,Kiril Despodov,PAOK FC,UEFA Europa League,1,6.40,0,0,0,0,0,0,0,0,0
CM,262363,Max Anderson,Crawley Town,Carabao Cup,2,6.10,0,0,0,0,0,0,0,2,0
CM,262363,Max Anderson,Crawley Town,Vertu Trophy,1,6.20,0,0,0,0,0,0,0,0,0
CM,270555,Gustavo Klismahn,Santa Clara,Liga Portugal,6,5.95,0,0,0,1,0,0,0,5,0
RB,270559,Tiago Santos,Stade Rennais FC,Ligue 1 McDonald's,4,6.35,0,1,0,0,0,0,0,3,0
CB,229605,Callum Connolly,Stockport County,Carabao Cup,1,6.50,0,0,0,0,0,0,0,0,0
CB,229605,Callum Connolly,Stockport County,Vertu Trophy,1,5.90,0,0,0,0,0,0,0,1,0
CDM,245988,Luca Connell,Barnsley,Carabao Cup,1,5.70,0,0,0,0,0,0,0,1,0
CDM,245988,Luca Connell,Barnsley,Vertu Trophy,1,6.50,0,0,0,0,0,0,0,0,0
CM,245992,Billy Gilmour,SSC Napoli,UEFA Champions League,1,6.10,0,0,0,0,0,0,0,1,0
CM,245992,Billy Gilmour,SSC Napoli,Coppa Italia,2,6.30,0,0,0,0,0,0,0,0,0
CM,245992,Billy Gilmour,SSC Napoli,Serie A Enilive,5,6.56,0,1,0,0,0,0,0,1,0
CB,221422,Sverrir Ingi Ingason,Panathinaikos FC,UEFA Europa League,1,6.00,0,0,0,0,0,0,0,1,0
CM,270571,Gabriel Sara,Galatasaray SK,Trendyol Süper Lig,7,7.33,2,2,3,1,0,0,0,8,1
CM,270571,Gabriel Sara,Galatasaray SK,UEFA Champions League,1,6.10,0,0,1,0,0,0,0,3,0
CB,73989,Marco Ruggero,Spezia,Coppa Italia,2,6.30,0,0,0,0,0,0,0,2,0
CDM,213242,Adrien Tameze,Torino,European International Cup,1,6.90,0,0,0,1,0,0,0,1,0
CDM,213242,Adrien Tameze,Torino,Serie A Enilive,3,6.67,0,1,1,0,0,0,0,3,0
LM,82188,Yusuf Akhamrich,Bristol Rovers,Carabao Cup,2,7.10,1,1,0,0,0,0,0,1,1
LM,82188,Yusuf Akhamrich,Bristol Rovers,Vertu Trophy,1,5.70,0,0,0,0,0,0,0,1,0
CB,205054,Kal Naismith,Luton Town,Carabao Cup,3,6.80,0,0,1,0,0,0,0,2,0
CB,205054,Kal Naismith,Luton Town,Vertu Trophy,1,6.40,0,0,0,0,0,0,0,0,0
CDM,237819,Nicolás Domínguez,Nottingham Forest,Carabao Cup,2,6.10,0,0,0,0,0,0,0,1,0
CDM,237819,Nicolás Domínguez,Nottingham Forest,UEFA Europa League,1,6.20,0,0,0,0,0,0,0,1,0
CDM,237819,Nicolás Domínguez,Nottingham Forest,Premier League,5,6.02,0,0,0,0,0,0,0,2,0
RM,246011,Víctor García,Levante UD,European International Cup,2,5.75,0,0,0,0,0,0,0,2,0
RM,246011,Víctor García,Levante UD,LALIGA EA SPORTS,7,5.56,0,1,0,0,0,0,0,14,0
CB,270585,João Silva,CD Tondela,Liga Portugal,6,5.88,0,0,0,0,0,0,0,7,0
CB,278777,Josue Kongolo,KRC Genk,1A Pro League,8,5.88,0,0,0,0,0,0,0,7,0
CB,278777,Josue Kongolo,KRC Genk,UEFA Europa League,1,5.70,0,0,0,0,0,0,0,2,0
CM,270587,Rafael Brito,Casa Pia AC,Liga Portugal,6,5.92,0,0,0,0,0,0,0,6,0
CB,278780,Finn Jeltsch,VfB Stuttgart,UEFA Europa League,1,6.30,0,0,0,0,0,0,0,0,0
CDM,82197,Barnaby Williams,Southampton,Carabao Cup,1,9.00,1,1,0,0,0,0,0,0,1
LB,262402,Sergi Cardona,Villarreal CF,LALIGA EA SPORTS,7,5.84,0,0,0,1,0,0,0,10,1
LB,262402,Sergi Cardona,Villarreal CF,European International Cup,3,6.27,0,0,0,0,0,0,0,3,1
LB,262402,Sergi Cardona,Villarreal CF,UEFA Champions League,1,7.50,0,0,0,1,0,0,0,0,1
CB,262404,Felix Bacher,Estoril Praia,Liga Portugal,7,6.33,0,0,0,2,0,0,0,8,2
ST,237833,Mark Harris,Oxford United,EFL Championship,7,7.16,2,7,0,1,0,0,0,15,0
CM,278789,Mahamadou Diawara,Royal Antwerp FC,1A Pro League,9,6.20,0,0,0,2,0,0,0,7,2
CB,221456,Reece Burke,Charlton Athletic,EFL Championship,7,6.27,0,0,0,0,0,0,0,3,2
CB,221456,Reece Burke,Charlton Athletic,Carabao Cup,1,6.30,0,0,0,0,0,0,0,0,0
CDM,262412,Loreintz Rosier,Al Hazem,Saudi Pro League,6,5.53,0,0,0,1,0,1,0,6,0
CB,74020,Nicola Pietrangeli,Südtirol,Coppa Italia,2,5.80,0,0,0,0,0,0,0,2,0
RB,237841,Amir Murillo,Beşiktaş JK,Trendyol Süper Lig,6,6.43,0,0,0,0,0,0,0,4,1
LM,262416,Chiquinho,FC Alverca,Liga Portugal,7,5.57,0,1,0,0,0,0,0,15,0
GK,262417,Daniel Figueira,Gil Vicente FC,Liga Portugal,7,5.70,0,0,0,0,0,0,0,15,0
RM,270609,Kyreece Lisbie,Colchester United,Carabao Cup,1,5.90,0,0,1,0,0,0,0,2,0
RM,270609,Kyreece Lisbie,Colchester United,Vertu Trophy,1,6.00,0,0,0,0,0,0,0,1,0
CM,270613,Mahamadou Doumbia,Al Ittihad,Saudi Pro League,4,6.20,0,1,0,0,0,0,0,5,0
CDM,229659,Bryan Heynen,KRC Genk,1A Pro League,8,6.34,0,0,0,0,0,0,0,5,3
