competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
EFL Championship,779,1960,1951,Swansea City,TBD,TBD,Oxford United,20251206,1500
EFL Championship,779,1960,1790,Swansea City,TBD,TBD,Portsmouth,20251209,1945
EFL Championship,779,3,1951,Blackburn Rovers,TBD,TBD,Oxford United,20251209,1945
EFL Championship,779,1795,1807,Watford,TBD,TBD,Sheffield Wednesday,20251209,1945
EFL Championship,779,1794,1792,Sheffield United,TBD,TBD,Norwich City,20251209,1945
EFL Championship,779,89,12,Charlton Athletic,TBD,TBD,Middlesbrough,20251209,1945
EFL Championship,779,15,88,Queens Park Rangers,TBD,TBD,Birmingham City,20251209,1945
EFL Championship,779,17,109,Southampton,TBD,TBD,West Bromwich Albion,20251209,1945
EFL Championship,779,1801,1800,Preston North End,TBD,TBD,Coventry City,20251209,1945
EFL Championship,779,1919,95,Bristol City,TBD,TBD,Leicester City,20251210,1945
EFL Championship,779,91,97,Derby County,TBD,TBD,Millwall,20251210,1945
EFL Championship,779,94,1806,Ipswich Town,TBD,TBD,Stoke City,20251210,1945
EFL Championship,779,1952,1947,Hull City,TBD,TBD,Wrexham,20251210,1945
EFL Championship,779,1792,17,Norwich City,TBD,TBD,Southampton,20251213,1500
EFL Championship,779,109,1794,West Bromwich Albion,TBD,TBD,Sheffield United,20251213,1500
EFL Championship,779,1806,1960,Stoke City,TBD,TBD,Swansea City,20251213,1500
EFL Championship,779,95,94,Leicester City,TBD,TBD,Ipswich Town,20251213,1500
EFL Championship,779,1947,1795,Wrexham,TBD,TBD,Watford,20251213,1500
EFL Championship,779,88,89,Birmingham City,TBD,TBD,Charlton Athletic,20251213,1500
EFL Championship,779,1951,1801,Oxford United,TBD,TBD,Preston North End,20251213,1500
EFL Championship,779,1800,1919,Coventry City,TBD,TBD,Bristol City,20251213,1500
EFL Championship,779,12,15,Middlesbrough,TBD,TBD,Queens Park Rangers,20251213,1500
EFL Championship,779,97,1952,Millwall,TBD,TBD,Hull City,20251213,1500
EFL Championship,779,1807,91,Sheffield Wednesday,TBD,TBD,Derby County,20251213,1500
EFL Championship,779,1790,3,Portsmouth,TBD,TBD,Blackburn Rovers,20251213,1500
EFL Championship,779,17,1800,Southampton,TBD,TBD,Coventry City,20251220,1500
EFL Championship,779,3,97,Blackburn Rovers,TBD,TBD,Millwall,20251220,1500
EFL Championship,779,1952,109,Hull City,TBD,TBD,West Bromwich Albion,20251220,1500
EFL Championship,779,1795,1806,Watford,TBD,TBD,Stoke City,20251220,1500
EFL Championship,779,1960,1947,Swansea City,TBD,TBD,Wrexham,20251220,1500
EFL Championship,779,1919,12,Bristol City,TBD,TBD,Middlesbrough,20251220,1500
EFL Championship,779,91,1790,Derby County,TBD,TBD,Portsmouth,20251220,1500
EFL Championship,779,15,95,Queens Park Rangers,TBD,TBD,Leicester City,20251220,1500
EFL Championship,779,89,1951,Charlton Athletic,TBD,TBD,Oxford United,20251220,1500
EFL Championship,779,1794,88,Sheffield United,TBD,TBD,Birmingham City,20251220,1500
EFL Championship,779,1801,1792,Preston North End,TBD,TBD,Norwich City,20251220,1500
EFL Championship,779,94,1807,Ipswich Town,TBD,TBD,Sheffield Wednesday,20251220,1500
EFL Championship,779,95,1795,Leicester City,TBD,TBD,Watford,20251226,1500
EFL Championship,779,1790,15,Portsmouth,TBD,TBD,Queens Park Rangers,20251226,1500
EFL Championship,779,1792,89,Norwich City,TBD,TBD,Charlton Athletic,20251226,1500
EFL Championship,779,1951,17,Oxford United,TBD,TBD,Southampton,20251226,1500
EFL Championship,779,1806,1801,Stoke City,TBD,TBD,Preston North End,20251226,1500
EFL Championship,779,109,1919,West Bromwich Albion,TBD,TBD,Bristol City,20251226,1500
EFL Championship,779,1947,1794,Wrexham,TBD,TBD,Sheffield United,20251226,1500
EFL Championship,779,1800,1960,Coventry City,TBD,TBD,Swansea City,20251226,1500
EFL Championship,779,97,94,Millwall,TBD,TBD,Ipswich Town,20251226,1500
EFL Championship,779,1807,1952,Sheffield Wednesday,TBD,TBD,Hull City,20251226,1500
EFL Championship,779,88,91,Birmingham City,TBD,TBD,Derby County,20251226,1500
EFL Championship,779,12,3,Middlesbrough,TBD,TBD,Blackburn Rovers,20251226,1500
EFL Championship,779,1790,89,Portsmouth,TBD,TBD,Charlton Athletic,20251229,1945
EFL Championship,779,12,1952,Middlesbrough,TBD,TBD,Hull City,20251229,1945
EFL Championship,779,97,1919,Millwall,TBD,TBD,Bristol City,20251229,1945
EFL Championship,779,95,91,Leicester City,TBD,TBD,Derby County,20251229,1945
EFL Championship,779,1800,94,Coventry City,TBD,TBD,Ipswich Town,20251229,1945
EFL Championship,779,109,15,West Bromwich Albion,TBD,TBD,Queens Park Rangers,20251229,1945
EFL Championship,779,1792,1795,Norwich City,TBD,TBD,Watford,20251229,1945
EFL Championship,779,1807,3,Sheffield Wednesday,TBD,TBD,Blackburn Rovers,20251229,1945
EFL Championship,779,1947,1801,Wrexham,TBD,TBD,Preston North End,20251229,1945
EFL Championship,779,1951,1960,Oxford United,TBD,TBD,Swansea City,20251229,1945
EFL Championship,779,1806,1794,Stoke City,TBD,TBD,Sheffield United,20251229,1945
EFL Championship,779,88,17,Birmingham City,TBD,TBD,Southampton,20251229,1945
EFL Championship,779,1952,1806,Hull City,TBD,TBD,Stoke City,20260101,1500
EFL Championship,779,15,1792,Queens Park Rangers,TBD,TBD,Norwich City,20260101,1500
EFL Championship,779,1794,95,Sheffield United,TBD,TBD,Leicester City,20260101,1500
EFL Championship,779,17,97,Southampton,TBD,TBD,Millwall,20260101,1500
EFL Championship,779,3,1947,Blackburn Rovers,TBD,TBD,Wrexham,20260101,1500
EFL Championship,779,1960,109,Swansea City,TBD,TBD,West Bromwich Albion,20260101,1500
EFL Championship,779,1795,88,Watford,TBD,TBD,Birmingham City,20260101,1500
EFL Championship,779,1919,1790,Bristol City,TBD,TBD,Portsmouth,20260101,1500
EFL Championship,779,94,1951,Ipswich Town,TBD,TBD,Oxford United,20260101,1500
EFL Championship,779,1801,1807,Preston North End,TBD,TBD,Sheffield Wednesday,20260101,1500
EFL Championship,779,91,12,Derby County,TBD,TBD,Middlesbrough,20260101,1500
EFL Championship,779,89,1800,Charlton Athletic,TBD,TBD,Coventry City,20260101,1500
EFL Championship,779,12,17,Middlesbrough,TBD,TBD,Southampton,20260104,1500
EFL Championship,779,3,89,Blackburn Rovers,TBD,TBD,Charlton Athletic,20260104,1500
EFL Championship,779,91,1947,Derby County,TBD,TBD,Wrexham,20260104,1500
EFL Championship,779,1952,1795,Hull City,TBD,TBD,Watford,20260104,1500
EFL Championship,779,1792,1806,Norwich City,TBD,TBD,Stoke City,20260104,1500
EFL Championship,779,95,109,Leicester City,TBD,TBD,West Bromwich Albion,20260104,1500
