competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,605,131798,Al Hilal,1,0,Neom,20250912,1600
Saudi Pro League,1645,113217,112390,Damac,1,1,Al Fateh,20250911,1700
Saudi Pro League,1645,112883,112393,Al Khaleej,2,3,Al Taawoun,20250912,1600
Saudi Pro League,1645,115892,111674,Al Najmah,2,2,Al Shabab,20250913,1600
Saudi Pro League,1645,607,112139,Al Ittihad,1,1,Al Nassr,20250911,1700
Saudi Pro League,1645,131735,113057,Al Kholood,2,0,Al Fayha,20250912,1600
Saudi Pro League,1645,112391,112096,Al Qadsiah,1,0,Al Ettifaq,20250913,1800
Saudi Pro League,1645,112387,112391,Al Ahli,0,1,Al Qadsiah,20250918,1800
Saudi Pro League,1645,112096,131735,Al Ettifaq,1,1,Al Kholood,20250920,1600
Saudi Pro League,1645,113057,607,Al Fayha,0,2,Al Ittihad,20250919,1700
Saudi Pro League,1645,112139,115892,Al Nassr,3,1,Al Najmah,20250920,1600
Saudi Pro League,1645,111674,112883,Al Shabab,0,1,Al Khaleej,20250918,1600
Saudi Pro League,1645,112393,113217,Al Taawoun,1,2,Damac,20250918,1600
Saudi Pro League,1645,112390,605,Al Fateh,1,2,Al Hilal,20250920,1600
Saudi Pro League,1645,131798,113222,Neom,2,0,Al Hazem,20250920,1600
Saudi Pro League,1645,113060,113037,Al Okhdood,1,1,Al Riyadh,20250920,1600
Saudi Pro League,1645,113060,112387,Al Okhdood,2,1,Al Ahli,20250926,1600
Saudi Pro League,1645,113037,131798,Al Riyadh,1,1,Neom,20250925,1700
Saudi Pro League,1645,113222,112390,Al Hazem,1,1,Al Fateh,20250927,1800
Saudi Pro League,1645,605,112393,Al Hilal,1,2,Al Taawoun,20250927,1600
Saudi Pro League,1645,113217,111674,Damac,1,0,Al Shabab,20250926,1600
Saudi Pro League,1645,112883,112139,Al Khaleej,1,1,Al Nassr,20250927,1600
Saudi Pro League,1645,115892,113057,Al Najmah,1,2,Al Fayha,20250927,1800
Saudi Pro League,1645,607,112096,Al Ittihad,2,1,Al Ettifaq,20250926,1600
Saudi Pro League,1645,131735,112391,Al Kholood,2,3,Al Qadsiah,20250927,1600
Saudi Pro League,1645,112387,131735,Al Ahli,TBD,TBD,Al Kholood,20251004,1600
Saudi Pro League,1645,112391,607,Al Qadsiah,TBD,TBD,Al Ittihad,20251003,1700
Saudi Pro League,1645,112096,115892,Al Ettifaq,TBD,TBD,Al Najmah,20251004,1400
Saudi Pro League,1645,113057,112883,Al Fayha,TBD,TBD,Al Khaleej,20251004,1700
Saudi Pro League,1645,112139,113217,Al Nassr,TBD,TBD,Damac,20251004,1400
Saudi Pro League,1645,111674,605,Al Shabab,TBD,TBD,Al Hilal,20251003,1700
Saudi Pro League,1645,112393,113222,Al Taawoun,TBD,TBD,Al Hazem,20251004,1700
Saudi Pro League,1645,112390,113037,Al Fateh,TBD,TBD,Al Riyadh,20251004,1600
Saudi Pro League,1645,131798,113060,Neom,TBD,TBD,Al Okhdood,20251003,1700
Saudi Pro League,1645,131798,112387,Neom,TBD,TBD,Al Ahli,20251016,1730
Saudi Pro League,1645,113060,112390,Al Okhdood,TBD,TBD,Al Fateh,20251018,1600
Saudi Pro League,1645,113037,112393,Al Riyadh,TBD,TBD,Al Taawoun,20251017,1700
Saudi Pro League,1645,113222,111674,Al Hazem,TBD,TBD,Al Shabab,20251017,1700
Saudi Pro League,1645,605,112139,Al Hilal,TBD,TBD,Al Nassr,20251018,1600
Saudi Pro League,1645,113217,113057,Damac,TBD,TBD,Al Fayha,20251018,1600
Saudi Pro League,1645,112883,112096,Al Khaleej,TBD,TBD,Al Ettifaq,20251017,1700
Saudi Pro League,1645,115892,112391,Al Najmah,TBD,TBD,Al Qadsiah,20251018,1600
Saudi Pro League,1645,607,131735,Al Ittihad,TBD,TBD,Al Kholood,20251017,1700
Saudi Pro League,1645,112387,607,Al Ahli,TBD,TBD,Al Ittihad,20251024,1700
Saudi Pro League,1645,131735,115892,Al Kholood,TBD,TBD,Al Najmah,20251025,1700
Saudi Pro League,1645,112391,112883,Al Qadsiah,TBD,TBD,Al Khaleej,20251025,1500
Saudi Pro League,1645,112096,113217,Al Ettifaq,TBD,TBD,Damac,20251024,1700
Saudi Pro League,1645,113057,605,Al Fayha,TBD,TBD,Al Hilal,20251024,1700
Saudi Pro League,1645,112139,113222,Al Nassr,TBD,TBD,Al Hazem,20251025,1500
Saudi Pro League,1645,111674,113037,Al Shabab,TBD,TBD,Al Riyadh,20251025,1500
Saudi Pro League,1645,112393,113060,Al Taawoun,TBD,TBD,Al Okhdood,20251025,1500
Saudi Pro League,1645,112390,131798,Al Fateh,TBD,TBD,Neom,20251025,1700
Saudi Pro League,1645,112390,112387,Al Fateh,TBD,TBD,Al Ahli,20251101,1600
Saudi Pro League,1645,131798,112393,Neom,TBD,TBD,Al Taawoun,20251101,1600
