competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Serie A Enilive,1076,111434,1842,Cremonese,TBD,TBD,Cagliari,20260107,1700
Serie A Enilive,1076,115841,110374,Lazio,TBD,TBD,Fiorentina,20260107,1945
Serie A Enilive,1076,347,52,Lecce,TBD,TBD,AS Roma,20260107,1945
Serie A Enilive,1076,131681,110556,AC Milan,TBD,TBD,Genoa,20260107,1945
Serie A Enilive,1076,48,206,SSC Napoli,TBD,TBD,Hellas Verona,20260107,1945
Serie A Enilive,1076,50,131682,Parma,TBD,TBD,Inter Milan,20260107,1945
Serie A Enilive,1076,110738,1745,Pisa,TBD,TBD,Como 1907,20260107,1700
Serie A Enilive,1076,111974,45,Sassuolo,TBD,TBD,Juventus,20260107,1945
Serie A Enilive,1076,206,115841,Hellas Verona,TBD,TBD,Lazio,20260110,1400
Serie A Enilive,1076,1745,189,Como 1907,TBD,TBD,Bologna,20260110,1700
Serie A Enilive,1076,115845,54,Atalanta,TBD,TBD,Torino,20260110,1945
Serie A Enilive,1076,131682,48,Inter Milan,TBD,TBD,SSC Napoli,20260110,1945
Serie A Enilive,1076,45,111434,Juventus,TBD,TBD,Cremonese,20260111,1130
Serie A Enilive,1076,110556,1842,Genoa,TBD,TBD,Cagliari,20260111,1400
Serie A Enilive,1076,55,110738,Udinese,TBD,TBD,Pisa,20260111,1400
Serie A Enilive,1076,347,50,Lecce,TBD,TBD,Parma,20260111,1700
Serie A Enilive,1076,110374,131681,Fiorentina,TBD,TBD,AC Milan,20260111,1945
Serie A Enilive,1076,52,111974,AS Roma,TBD,TBD,Sassuolo,20260112,1945
Serie A Enilive,1076,111434,206,Cremonese,TBD,TBD,Hellas Verona,20260116,1945
Serie A Enilive,1076,189,110374,Bologna,TBD,TBD,Fiorentina,20260117,1400
Serie A Enilive,1076,54,52,Torino,TBD,TBD,AS Roma,20260117,1700
Serie A Enilive,1076,131681,347,AC Milan,TBD,TBD,Lecce,20260117,1945
Serie A Enilive,1076,1842,45,Cagliari,TBD,TBD,Juventus,20260117,1700
Serie A Enilive,1076,115841,1745,Lazio,TBD,TBD,Como 1907,20260118,1400
Serie A Enilive,1076,48,111974,SSC Napoli,TBD,TBD,Sassuolo,20260117,1700
Serie A Enilive,1076,55,131682,Udinese,TBD,TBD,Inter Milan,20260118,1700
Serie A Enilive,1076,50,110556,Parma,TBD,TBD,Genoa,20260118,1945
Serie A Enilive,1076,110738,115845,Pisa,TBD,TBD,Atalanta,20260117,1700
Serie A Enilive,1076,110556,189,Genoa,TBD,TBD,Bologna,20260125,1130
Serie A Enilive,1076,1745,54,Como 1907,TBD,TBD,Torino,20260124,1400
Serie A Enilive,1076,131682,110738,Inter Milan,TBD,TBD,Pisa,20260124,1700
Serie A Enilive,1076,115845,50,Atalanta,TBD,TBD,Parma,20260124,1945
Serie A Enilive,1076,45,48,Juventus,TBD,TBD,SSC Napoli,20260125,1130
Serie A Enilive,1076,110374,1842,Fiorentina,TBD,TBD,Cagliari,20260125,1400
Serie A Enilive,1076,111974,111434,Sassuolo,TBD,TBD,Cremonese,20260125,1400
Serie A Enilive,1076,206,55,Hellas Verona,TBD,TBD,Udinese,20260125,1700
Serie A Enilive,1076,347,115841,Lecce,TBD,TBD,Lazio,20260125,1945
Serie A Enilive,1076,52,131681,AS Roma,TBD,TBD,AC Milan,20260126,1945
Serie A Enilive,1076,48,110374,SSC Napoli,TBD,TBD,Fiorentina,20260131,1700
Serie A Enilive,1076,54,347,Torino,TBD,TBD,Lecce,20260131,1400
Serie A Enilive,1076,111434,131682,Cremonese,TBD,TBD,Inter Milan,20260131,1700
Serie A Enilive,1076,1745,115845,Como 1907,TBD,TBD,Atalanta,20260131,1945
Serie A Enilive,1076,115841,110556,Lazio,TBD,TBD,Genoa,20260201,1130
Serie A Enilive,1076,189,131681,Bologna,TBD,TBD,AC Milan,20260201,1400
Serie A Enilive,1076,55,52,Udinese,TBD,TBD,AS Roma,20260201,1400
Serie A Enilive,1076,1842,206,Cagliari,TBD,TBD,Hellas Verona,20260201,1700
Serie A Enilive,1076,50,45,Parma,TBD,TBD,Juventus,20260201,1945
Serie A Enilive,1076,110738,111974,Pisa,TBD,TBD,Sassuolo,20260202,1945
Serie A Enilive,1076,189,50,Bologna,TBD,TBD,Parma,20260206,1945
Serie A Enilive,1076,206,110738,Hellas Verona,TBD,TBD,Pisa,20260207,1400
Serie A Enilive,1076,1745,131681,Como 1907,TBD,TBD,AC Milan,20260207,1700
Serie A Enilive,1076,45,115841,Juventus,TBD,TBD,Lazio,20260207,1945
Serie A Enilive,1076,115845,111434,Atalanta,TBD,TBD,Cremonese,20260208,1130
Serie A Enilive,1076,347,55,Lecce,TBD,TBD,Udinese,20260208,1400
Serie A Enilive,1076,52,1842,AS Roma,TBD,TBD,Cagliari,20260208,1400
Serie A Enilive,1076,111974,131682,Sassuolo,TBD,TBD,Inter Milan,20260208,1700
Serie A Enilive,1076,110556,48,Genoa,TBD,TBD,SSC Napoli,20260208,1945
Serie A Enilive,1076,110374,54,Fiorentina,TBD,TBD,Torino,20260209,1945
Serie A Enilive,1076,54,189,Torino,TBD,TBD,Bologna,20260213,1945
Serie A Enilive,1076,1745,110374,Como 1907,TBD,TBD,Fiorentina,20260214,1400
