competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Liga Portugal,1206,131463,112513,AVS Futebol SAD,TBD,TBD,FC Arouca,20260119,2145
Liga Portugal,1206,234,718,SL Benfica,TBD,TBD,Estrela Amadora,20260124,1800
Liga Portugal,1206,112513,237,FC Arouca,TBD,TBD,Sporting CP,20260124,1630
Liga Portugal,1206,114510,131463,Casa Pia AC,TBD,TBD,AVS Futebol SAD,20260124,1630
Liga Portugal,1206,10020,1887,Estoril Praia,TBD,TBD,Vitória SC,20260124,1900
Liga Portugal,1206,112809,112516,FC Famalicão,TBD,TBD,CD Tondela,20260124,2130
Liga Portugal,1206,236,1888,FC Porto,TBD,TBD,Gil Vicente FC,20260125,1630
Liga Portugal,1206,1900,1438,Moreirense FC,TBD,TBD,Santa Clara,20260125,1900
Liga Portugal,1206,1891,744,CD Nacional,TBD,TBD,Rio Ave FC,20260125,2130
Liga Portugal,1206,1896,717,SC Braga,TBD,TBD,FC Alverca,20260126,2145
Liga Portugal,1206,237,1891,Sporting CP,TBD,TBD,CD Nacional,20260131,1700
Liga Portugal,1206,131463,1896,AVS Futebol SAD,TBD,TBD,SC Braga,20260201,1600
Liga Portugal,1206,114510,236,Casa Pia AC,TBD,TBD,FC Porto,20260201,1600
Liga Portugal,1206,717,718,FC Alverca,TBD,TBD,Estrela Amadora,20260131,1900
Liga Portugal,1206,1888,112809,Gil Vicente FC,TBD,TBD,FC Famalicão,20260131,2130
Liga Portugal,1206,1438,10020,Santa Clara,TBD,TBD,Estoril Praia,20260201,1630
Liga Portugal,1206,112516,234,CD Tondela,TBD,TBD,SL Benfica,20260201,1900
Liga Portugal,1206,744,112513,Rio Ave FC,TBD,TBD,FC Arouca,20260201,2130
Liga Portugal,1206,1887,1900,Vitória SC,TBD,TBD,Moreirense FC,20260202,2145
Liga Portugal,1206,234,717,SL Benfica,TBD,TBD,FC Alverca,20260206,2145
Liga Portugal,1206,112513,1887,FC Arouca,TBD,TBD,Vitória SC,20260207,1630
Liga Portugal,1206,718,1438,Estrela Amadora,TBD,TBD,Santa Clara,20260207,1630
Liga Portugal,1206,10020,112516,Estoril Praia,TBD,TBD,CD Tondela,20260207,1900
Liga Portugal,1206,112809,131463,FC Famalicão,TBD,TBD,AVS Futebol SAD,20260207,2130
Liga Portugal,1206,1900,1888,Moreirense FC,TBD,TBD,Gil Vicente FC,20260208,1630
Liga Portugal,1206,1891,114510,CD Nacional,TBD,TBD,Casa Pia AC,20260208,1900
Liga Portugal,1206,236,237,FC Porto,TBD,TBD,Sporting CP,20260208,2130
Liga Portugal,1206,1896,744,SC Braga,TBD,TBD,Rio Ave FC,20260209,2145
Liga Portugal,1206,237,112809,Sporting CP,TBD,TBD,FC Famalicão,20260213,2145
Liga Portugal,1206,1888,1896,Gil Vicente FC,TBD,TBD,SC Braga,20260214,1630
Liga Portugal,1206,1891,236,CD Nacional,TBD,TBD,FC Porto,20260214,1630
Liga Portugal,1206,131463,10020,AVS Futebol SAD,TBD,TBD,Estoril Praia,20260214,1900
Liga Portugal,1206,114510,112513,Casa Pia AC,TBD,TBD,FC Arouca,20260214,2130
Liga Portugal,1206,1438,234,Santa Clara,TBD,TBD,SL Benfica,20260215,1630
Liga Portugal,1206,744,1900,Rio Ave FC,TBD,TBD,Moreirense FC,20260215,1900
Liga Portugal,1206,112516,717,CD Tondela,TBD,TBD,FC Alverca,20260215,2130
Liga Portugal,1206,1887,718,Vitória SC,TBD,TBD,Estrela Amadora,20260216,2145
Liga Portugal,1206,234,131463,SL Benfica,TBD,TBD,AVS Futebol SAD,20260220,2145
Liga Portugal,1206,717,1438,FC Alverca,TBD,TBD,Santa Clara,20260221,1630
Liga Portugal,1206,112513,1891,FC Arouca,TBD,TBD,CD Nacional,20260221,1630
Liga Portugal,1206,10020,1888,Estoril Praia,TBD,TBD,Gil Vicente FC,20260221,1900
Liga Portugal,1206,718,112516,Estrela Amadora,TBD,TBD,CD Tondela,20260221,2130
Liga Portugal,1206,236,744,FC Porto,TBD,TBD,Rio Ave FC,20260222,1630
Liga Portugal,1206,1900,237,Moreirense FC,TBD,TBD,Sporting CP,20260222,1900
Liga Portugal,1206,112809,114510,FC Famalicão,TBD,TBD,Casa Pia AC,20260222,2130
Liga Portugal,1206,1896,1887,SC Braga,TBD,TBD,Vitória SC,20260223,2145
Liga Portugal,1206,237,10020,Sporting CP,TBD,TBD,Estoril Praia,20260227,2145
Liga Portugal,1206,236,112513,FC Porto,TBD,TBD,FC Arouca,20260228,1630
Liga Portugal,1206,1888,234,Gil Vicente FC,TBD,TBD,SL Benfica,20260228,1630
Liga Portugal,1206,131463,718,AVS Futebol SAD,TBD,TBD,Estrela Amadora,20260228,1900
Liga Portugal,1206,114510,1900,Casa Pia AC,TBD,TBD,Moreirense FC,20260228,2130
Liga Portugal,1206,1891,1896,CD Nacional,TBD,TBD,SC Braga,20260301,1630
Liga Portugal,1206,112516,1438,CD Tondela,TBD,TBD,Santa Clara,20260301,1900
Liga Portugal,1206,744,112809,Rio Ave FC,TBD,TBD,FC Famalicão,20260301,2130
Liga Portugal,1206,1887,717,Vitória SC,TBD,TBD,FC Alverca,20260302,2145
Liga Portugal,1206,1896,237,SC Braga,TBD,TBD,Sporting CP,20260306,2145
Liga Portugal,1206,10020,114510,Estoril Praia,TBD,TBD,Casa Pia AC,20260307,1630
Liga Portugal,1206,718,1888,Estrela Amadora,TBD,TBD,Gil Vicente FC,20260307,1630
Liga Portugal,1206,112809,112513,FC Famalicão,TBD,TBD,FC Arouca,20260307,1900
Liga Portugal,1206,1900,1891,Moreirense FC,TBD,TBD,CD Nacional,20260307,2130
Liga Portugal,1206,1438,1887,Santa Clara,TBD,TBD,Vitória SC,20260308,1630
Liga Portugal,1206,717,131463,FC Alverca,TBD,TBD,AVS Futebol SAD,20260308,1900
Liga Portugal,1206,234,236,SL Benfica,TBD,TBD,FC Porto,20260308,2130
Liga Portugal,1206,112516,744,CD Tondela,TBD,TBD,Rio Ave FC,20260309,2145
Liga Portugal,1206,237,112516,Sporting CP,TBD,TBD,CD Tondela,20260313,2145
Liga Portugal,1206,112513,234,FC Arouca,TBD,TBD,SL Benfica,20260314,1630
Liga Portugal,1206,131463,1438,AVS Futebol SAD,TBD,TBD,Santa Clara,20260314,1630
Liga Portugal,1206,114510,1896,Casa Pia AC,TBD,TBD,SC Braga,20260314,1900
Liga Portugal,1206,236,1900,FC Porto,TBD,TBD,Moreirense FC,20260314,2130
Liga Portugal,1206,1888,717,Gil Vicente FC,TBD,TBD,FC Alverca,20260315,1630
